кат;назва;наявність;код;опт;роздріб
Садки, подсаки;            CZ ALPHA-N 2 section landing net (40x40x130) (Подсак складной);;CZ0016;4,43 EUR;186,06
Садки, подсаки;            CZ ALPHA-N 2 section landing net (50x50x150) (Подсак складной);;CZ0009;5,18 EUR;217,56
Садки, подсаки;            CZ BETA-N 2 section landing net (50x50x150) (Подсак складной);;CZ0061;5,93 EUR;249,06
Садки, подсаки;            CZ BETA-N 2 section landing net (50x50x180) (Подсак складной);;CZ0054;6,68 EUR;280,56
Садки, подсаки;            CZ BETA-N 2 section landing net (50x50x220) (Подсак складной);;CZ0078;7,43 EUR;312,06
Садки, подсаки;            CZ Boat Landing Net, 1 section (65x55x165) (Лодочный СКЛАДНОЙ ПОДСАК, 20мм ПРОРЕЗИНЕННАЯ ЧЕРНАЯ СЕТКА);;CZ8211;21,68 EUR;910,56
Садки, подсаки;            CZ DELTA-N 2 section landing net (60x50x200cm) (Телескопический подсак);;CZ3705;9,68 EUR;406,56
Садки, подсаки;            CZ DELTA-N 2 section landing net (70x60x250cm)(Телескопический подсак);;CZ3712;11,18 EUR;469,56
Садки, подсаки;            CZ GAMMA 2 section landing net (50x50x170) (Телескопический подсак);73,000;CZ8129;9,43 EUR;396,06
Садки, подсаки;            CZ GAMMA-N 2 section landing net (70x70x180cm) (Телескопический подсак С ЗАКРУГЛЕННЫМИ КОНЦАМИ,10мм ЧЕРНАЯ СЕТКА);;CZ3682;11,78 EUR;494,76
Садки, подсаки;            CZ GAMMA-N 2 section landing net (70x70x250cm) (ТЕЛЕСКОПИЧЕСКИЙ ПОДСАК С ЗАКРУГЛЕННЫМИ КОНЦАМИ,10мм ЧЕРНАЯ СЕТКА);;CZ3699;13,28 EUR;557,76
Садки, подсаки;            CZ Net Float, L (?5x16cm)  (ПОПЛАВОК ДЛЯ ПОДСАКА);9,000;CZ3071;1,94 EUR;81,48
Садки, подсаки;            CZ Net Float, XL  (?9x20cm)  (ПОПЛАВОК ДЛЯ ПОДСАКА);;CZ3088;2,69 EUR;112,98
Садки, подсаки;            CZ Omega 2 section landing net (70x70x210cm) (Карповый складной подсак,сильное крепление);3,000;CZ1307;19,43 EUR;816,06
Садки, подсаки;            CZ Omega 2 section landing net (70x70x250cm) (Карповый складной подсак,сильное крепление);2,000;CZ1321;20,93 EUR;879,06
Садки, подсаки;            CZ Practic Landing Net, 1 section (55x40x130) (ОДНОРУЧНЫЙ СКЛАДНОЙ ПОДСАК);3,000;CZ8259;11,93 EUR;501,06
Садки, подсаки;            CZ XXL Gamma Landing Net, 2 section (100x100x280cm) (Подсак XXL);;CZ1406;17,18 EUR;721,56
Садки, подсаки;            Foldable Landing Net, 2 sections (40x60x180) (Складывающийся подсак);;CZ0438;20,18 EUR;847,56
Садки, подсаки;            CZ Feeder FCR1 Net Head (50x40x30cm) (Фидерная голова подсака,6 мм отверстие,прорезиненная,латунь ви;4,000;CZ1413;6,68 EUR;280,56
Садки, подсаки;            CZ Feeder FCR2 Net Head (75x65x52cm) (Фидерная голова подсака,6 мм отверстие,прорезиненная,латунь ви;3,000;CZ1420;8,18 EUR;343,56
