"82","NEW Зимнее покрытие Carp Expedition Bivvy 2 Overwrap ","<p>Аксессуар для комфортабельной<br>палатки. Накрыв палатку<br>создаем ветронепроницаемый и<br>термоизоляционный слой, чем<br>усиливаем нагреваемость палатки.</p>","CZ0696","2693.46000"
"86","Зонтик ","<p>Рыболовный зонт, диаметр – 220см. Темно-зеленая ткань,<br>защитный слой от ультрафиолетовых лучей, стержень<br>устанавливается телескопически. Обеспечивает надежную<br>защиту от палящих лучей солнца, бокового ветра или дождя.</p>","CZ7641","734.16000"
"87","Навес","<p>Практическая полупалатка для 1-2<br>дневной или ночной рыбалки. Ткань<br>водонепроницаемая до 5000 мм, что<br>позволяет противостоять обильному<br>дождю. Каркас алюминиевый, легкий и<br>крепкий. Легко устанавливается.<br>В комплект входит прочное съемное<br>днище и колышки для крепления.</p>","CZ7979","3584.70000"
"83","Палаточный набор","<p>1Набор из 10-ти штук<br>креплений для палатки<br>(колышков) в практичной<br>сумке для переноски.<br>Металлический<br>винтовой наконечник,<br>пластмассовая ручка.</p>","CZ7672","305.76000"
"84","Зонтик с укрытием ","<p>Диаметр зонта-палатки – 250см. Обеспечивает идеальную<br>защиту от сюрпризов погоды – пристегивающаяся боковая<br>стенка защитит вас и ваше снаряжение от ветра, дождя, пыли<br>и солнца. Без стенки используется в качестве обыкновенного<br>рыболовного зонта. Нанесен прочный защитный слой от<br>ультрафиолетовых лучей</p>","CZ7634","1383.06000"
"81","NEW Палатка Carp Expedition Bivvy 2","<p>Комфортабельная рыболовная палатка для длительной рыбалки. Ткань<br>водонепроницаемая до 8000 мм. Прочный алюминиевый каркас, что<br>гарантирует не только стабильность и устойчивость в любых условиях, но и<br>легкость. Вес палатки – всего 12,1 кг.<br>Удобна даже для 3-х рыбаков.</p><p><span style=""font-size: 9.5pt; line-height: 107%; font-family: &quot;Arial&quot;,sans-serif; mso-fareast-font-family: &quot;Times New Roman&quot;; color: #222222; mso-ansi-language: EN-US; mso-fareast-language: RU; mso-bidi-language: AR-SA;"">300x270x140cm</span></p>","CZ0665","8817.06000"
"1705","Сушенный тигровый орех, 10кг.","<p>Приманка с высоким содержанием углеводов.</p><p>Может использоваться как самостоятельная</p><p>прикормка или для подмешивания в прикормку для</p><p>ловли карпов и амуров.</p>","CZ9561","1344.00000"
"1706","Multi Fish Groundbait, 1kg, Allround (универсальная)","<p>Обычная прикормка-смесь, может использоваться</p><p>как самостоятельно так и в смеси с другими</p><p>высококачественными кормами.</p>","CZ9677","42.56000"
"89","Кресло Comfort Armchair","<p>Удобное рыболовное кресло с подлокотниками.<br>Скажите «нет» болям в спине и «ноющей»<br>пояснице! Рекомендуем тем рыбакам, которые<br>хотят наслаждаться комфортными условиями<br>даже на берегу водоема. Сиденье и спинка – с<br>мягкими вставками, ножки регулируются<br>телескопически.</p>","CZ0680","1824.06000"
"90","Кресло Full Comfort Boilie Chair","<p>Удобное рыболовное кресло с подлокотниками<br>для длительной или кратковременной рыбалки,<br>экстра-большого размера. Регулируемые<br>ножки, откидывающаяся спинка (несколько<br>положений).</p>","CZ7986","2031.96000"
